x,y,z
2.565442323684692383e-01,1.047091707587242126e-01,1.849483996629714966e-01
3.268971145153045654e-01,1.536361873149871826e-01,5.702525749802589417e-02
3.250643312931060791e-01,1.506802737712860107e-01,-9.196411818265914917e-03
2.440298348665237427e-01,8.922605216503143311e-02,-3.388238698244094849e-02
2.307507991790771484e-01,8.036293089389801025e-02,-3.522500768303871155e-02
2.781702280044555664e-01,1.196513101458549500e-01,-4.450990259647369385e-02
3.149046003818511963e-01,1.460713446140289307e-01,-3.477223217487335205e-02
3.258955776691436768e-01,1.548813879489898682e-01,9.716010536067187786e-04
3.150580227375030518e-01,1.454991996288299561e-01,1.022358462214469910e-01
2.588520050048828125e-01,1.061474233865737915e-01,1.810588836669921875e-01
2.588520050048828125e-01,1.061474233865737915e-01,1.810588836669921875e-01
3.361912965774536133e-01,1.612007617950439453e-01,1.762823462486267090e-01
3.364576399326324463e-01,1.615872234106063843e-01,4.093777760863304138e-02
2.555208802223205566e-01,1.004763394594192505e-01,-2.491469308733940125e-02
2.420860826969146729e-01,8.880563825368881226e-02,-2.786272205412387848e-02
2.945111989974975586e-01,1.260215938091278076e-01,-1.053985580801963806e-02
3.416543304920196533e-01,1.637700051069259644e-01,5.876545608043670654e-02
3.474026322364807129e-01,1.689567565917968750e-01,1.675331741571426392e-01
2.979837357997894287e-01,1.345845311880111694e-01,2.632055282592773438e-01
2.112062871456146240e-01,7.387265563011169434e-02,3.044773638248443604e-01
2.112062871456146240e-01,7.387265563011169434e-02,3.044773638248443604e-01
2.425414770841598511e-01,9.583020210266113281e-02,3.891108334064483643e-01
3.146292567253112793e-01,1.463165432214736938e-01,3.063025176525115967e-01
3.004935979843139648e-01,1.364153623580932617e-01,1.546922922134399414e-01
2.758255898952484131e-01,1.191388517618179321e-01,1.181316450238227844e-01
3.117510676383972168e-01,1.442950516939163208e-01,1.846627891063690186e-01
3.168565034866333008e-01,1.478749662637710571e-01,2.923691868782043457e-01
2.675473690032958984e-01,1.133521050214767456e-01,3.877343833446502686e-01
1.808073669672012329e-01,5.261224135756492615e-02,4.289121031761169434e-01
9.105331450700759888e-02,-1.024095620959997177e-02,3.986867964267730713e-01
9.105331450700759888e-02,-1.024095620959997177e-02,3.986867964267730713e-01
7.475572824478149414e-02,-2.165564522147178650e-02,4.894802272319793701e-01
1.731703728437423706e-01,4.726189002394676208e-02,4.755623042583465576e-01
2.359382808208465576e-01,9.123533964157104492e-02,3.432052135467529297e-01
2.340415567159652710e-01,8.991203457117080688e-02,2.964678704738616943e-01
2.302281856536865234e-01,8.724334836006164551e-02,3.762155771255493164e-01
1.814170032739639282e-01,5.305784568190574646e-02,4.663273692131042480e-01
9.509903192520141602e-02,-7.402512710541486740e-03,5.066629052162170410e-01
5.484047345817089081e-03,-7.016064971685409546e-02,4.762121140956878662e-01
-5.147103220224380493e-02,-1.100400388240814209e-01,3.864698708057403564e-01
-5.147103220224380493e-02,-1.100400388240814209e-01,3.864698708057403564e-01
-1.089788973331451416e-01,-1.502843201160430908e-01,4.475110173225402832e-01
-2.305611781775951385e-02,-9.012596309185028076e-02,5.081004500389099121e-01
9.220335632562637329e-02,-9.435418061912059784e-03,4.471376836299896240e-01
1.131115183234214783e-01,5.198968574404716492e-03,4.089728593826293945e-01
6.901877373456954956e-02,-2.567490004003047943e-02,4.718801379203796387e-01
-1.299023535102605820e-02,-8.309234678745269775e-02,5.067133307456970215e-01
-1.015249788761138916e-01,-1.450750529766082764e-01,4.757667779922485352e-01
-1.581613719463348389e-01,-1.847219020128250122e-01,3.859768807888031006e-01
-1.596883982419967651e-01,-1.857861280441284180e-01,2.726657092571258545e-01
-1.596883982419967651e-01,-1.857861280441284180e-01,2.726657092571258545e-01
-2.356642782688140869e-01,-2.389997541904449463e-01,2.798946201801300049e-01
-1.963015198707580566e-01,-2.114445418119430542e-01,3.911612331867218018e-01
-7.384464889764785767e-02,-1.256999075412750244e-01,4.260385930538177490e-01
-3.897679597139358521e-02,-1.012870967388153076e-01,4.108929038047790527e-01
-1.030050143599510193e-01,-1.461192965507507324e-01,4.290561676025390625e-01
-1.876618564128875732e-01,-2.053958177566528320e-01,3.972356319427490234e-01
-2.436006367206573486e-01,-2.445668578147888184e-01,3.076543807983398438e-01
-2.449394017457962036e-01,-2.455075830221176147e-01,1.944687366485595703e-01
-1.906719803810119629e-01,-2.075113505125045776e-01,1.026642844080924988e-01
-1.906719803810119629e-01,-2.075113505125045776e-01,1.026642844080924988e-01
-2.551946938037872314e-01,-2.526972889900207520e-01,5.315923690795898438e-02
-2.780420482158660889e-01,-2.686979174613952637e-01,1.711169183254241943e-01
-1.968533396720886230e-01,-2.118412405252456665e-01,2.882823348045349121e-01
